Id,Start time,Completion time,Email,Name,Reviewer Initials,"ID (e.g.  PM1, CT2 or EU3)",Elligibility,Reasons for excluison ,trial open/published date ,Trial registry ID,Trial name,protocol available,Protocol type,SAP available,number of PRIMARY outcomes,Primary outcome(s),Result reporting,Specify partially available results ,PLANED overall sample  sample size,Does the sample size per arm differ?,Enter PLANED sample size per arm ( equally distributed),Enter PLANED sample size per arm ( NOT equally distributed/unclear),ACTUAL overall sample size( number of patients recruited),Does the ACTUAL sample size differ per arm?,Actual sample size per arm ( equally distributed) ,Actual sample size per arm ( Not equally distributed),Planned trial duration reporting,Specify PLANNED trial duration ( months),Specify ACTUAL trial duration ( months),Statistical methodologies/analysis,Technology-guided assignment,number of STARTING arms,non-randomised control arm,type of control,Was arm added/dropped planned in protocol? ,Arms ADDED,number of arms ADDED,Reason for ADDING arms,Arms DROPPED,number of arms DROPPED,Reasons for dropping arms,Who made the decision to drop or add arm(s)?,Multiple testing correction for multiple arms ,Trial status,Reason for discontinuation/termination,Research field,Intervention type,Phase,Sponsor,Funder,Single center or multicenter,National or international,"Interim analysis conducted
",number of interim analysis ,Was interim analysis trigger reported?,List Interim analysis  trigger details,Is there multiple testing adjustment,Adaptive design Features( select all applicable) ,Any PPI reported,at what stage PPI were involved ,Who was involved,What was the impact of PPI involvement ,Any additional features that were not captured ,If PUBMED data source,"Any other details, comments"
1,03/04/2025 07:58,03/04/2025 08:50,anonymous,,XL,32723675,Yes,,9/30/2013,NCT01953926,SUMMIT,Yes,Master protocol,Yes,1, Objective Response Rate ,Partially/ Per arm,"HER2-mutant, metastatic cervical cancer receiving neratinib",650,,,,582,,,,Fixed duration,90,,Frequentist,Not available,13,No,,,No,,,Yes,8,Not available,,No,Completed,,Oncology,Drug,Phase II,Industry,Industry,Multi,International ,unclear,,,,,futility stopping,No,,,,,,
2,03/05/2025 16:22,03/05/2025 20:55,anonymous,,SD,PMT1,Yes,,7/25/2020,NCT01953926,SUMMIT,Yes,Master protocol,Yes,1,Objective response rate (ORR),Partially/ Per arm,results available for HER2 mutant treated with n,650,No,50,,580,Unclear,,,Perpetual,102,123,Frequentist,No,1,No,,,Yes,5,,Yes,2,Not available;,,No,Discontinued/terminated,,Oncology,Drug,Phase II,Industry,Industry,Multi,International ,unclear,,,,,futility stopping;,No,,,,,,
3,03/10/2025 12:35,03/10/2025 12:35,anonymous,,SD,PMT1,Yes,,9/30/2013,NCT01953926, SUMMIT,Yes,Master protocol,Yes,1,objective response rate (ORR)F,Partially/ Per arm,results available for cohort of heavily pretreated patients with HER2 mutant,650,No,50,,580,Yes,,,Perpetual,102,123,Frequentist,,,Yes,,,No,,,Yes,,,,,Ongoing,,Oncology,Non-drug,Phase II,,,,,yes,,,,,sample size re-estimation;futility stopping;adaptive dose adjustment;,No,,,,,,
4,03/12/2025 10:04,03/12/2025 11:08,anonymous,,JS,PM,Yes,,6/25/2019,NCT03944772,ORCHARD,No,,No,1,Objective response rate (ORR),Not available,,182,No,40,,247,Unclear,,,Fixed duration,41,71,3+3 design to confirm the recommended dose of the combination.,Not available,5,No,,,Yes,6,"Group A: Cohorts will be added depending on future biomarkers and combination treatments identified.

Group B: Cohorts can be added upon identification of future treatment options.",No,,,"Study design enables cohorts to be added as relevant data emerge, subject to regulatory and ethics approval",Not available,Ongoing,,Oncology,Combination ( >=2 different interventions),Phase II,Industry,Industry,Multi,International ,yes,0,Yes,"Up to 40 patients will be recruited into each cohort with an interim analysis using data from 16 patients who have had the opportunity for two post-baseline radiological assessments. If ? 4 of the first 16 evaluable patients in a cohort have confirmed responses, recruitment to that cohort may be stopped as this translates to a < 10% probability that the ORR will be above the target of 45%.",Unclear,futility stopping;not clearly reported;,No,,,,,,
5,03/12/2025 14:43,03/12/2025 14:43,anonymous,,NS,34389237,Yes,,6/25/2019,NCT03944772,ORCHARD,No,,No,1,Objective response rate,Not available,,150,Unclear,,,247,Unclear,,,not reported,,,Frequentist,No,5,Yes,Concurrent,,Yes,6,,No,,,,Not available,Ongoing,,Oncology,Drug,Phase II,Industry,Industry,Multi,International ,yes,1,No,,No,adaptive dose adjustment;,No,,,,,,
6,03/12/2025 11:30,03/12/2025 15:51,anonymous,,JS,PM,Yes,,08/01/2018,NCT03805399 ,FUTURE,Yes,Old protocol version,Yes,1,Objective Response Rate (ORR),reported in full,,140,Yes,,10-20 per arm,141,Yes,,4;20;46;10;46;6;9,Fixed duration,30,41, Both,No,7,No,,,No,,,Yes,3,recruitment issues;Futility;,N/a,Not available,Unclear,,Oncology,Combination ( >=2 different interventions),Phase II,Industry,Both,Multi,National,yes,1,Yes,"16.6 Interim Analysis - An interim analysis will be conducted when 20 subjects are enrolled in at least one arm and at least one subject is enrolled in each arm to preliminarily evaluate the efficacy and safety of the drug combination in each arm. With the estimated enrollment speed, approximately 50% of subjects would have been enrolled by the interim analysis time point. 

In the interim analysis, the outcomes were favorable, with an objective response rate (ORR) of 29.0% for 69 enrolled patients.24 Here, we report the final clinical efficacy (including survival data for the first time), safety profile, biomarker analysis, and exploration of optimized regimens of the Fudan University Shanghai Cancer Center TNBC umbrella (FUTURE) trial.

Due to the difficulty of enrollment and the promising efficacy observed in other arms in the interim analysis, arms A and G could be terminated early at fewer than 10 patients (more details in Supplementary information, Data S1). Arm C was expanded to a maximum of 41 cases based on the efficacy reported in the interim analysis. Considering a dropout rate of 10%, 46 patients needed to be enrolled.",Unclear,futility stopping;efficacy stopping;sample size re-estimation;,No,,,,,,
7,03/12/2025 22:21,03/12/2025 22:21,anonymous,,NS,36973538,Yes,,3/27/2023,NCT03805399,FUTURE,Yes,Master protocol,Yes,1,Objective Response Rate ,reported in full,,140,Yes,,,141,Yes,,"4, 20, 46, 10, 46, 6, 9",Not available,,,Bayesian,No,7,No,,,No,,,Yes,2,Enrolment issue and high efficacy;,,No,Completed,,Oncology,Drug,Phase I/II,Non-Industry,Public,Multi,International ,yes,1,No,,No,sample size re-estimation;efficacy stopping;,No,,,,,,
8,3/13/2025 8:26,3/13/2025 10:09,anonymous,,JS,CT,Yes,,09/01/2020,NCT04534283,"A Phase 2 Basket Trial of an ERK1/2 Inhibitor (LY3214996) in Combination With Abemaciclib for Patients Whose Tumors Harbor Pathogenic Alterations in BRAF, RAF1, MEK1/2, ERK1/2, and NF1",No,,No,1,Overall Response Rate (ORR),reported in full,,35,No,35,,16,No,16,,Fixed duration,18,35, Both,Not available,1,No,,,No,,,No,,,N/a,No,Discontinued/terminated,Lack of efficacy.,Oncology,Combination ( >=2 different interventions),Phase II,Non-Industry,Not available,Not available,National,unclear,,,,,futility stopping;efficacy stopping;,No,,,,,,
9,3/13/2025 10:10,3/13/2025 11:51,anonymous,,JS,CT,Yes,,05/07/2018,NCT03573544,"A Phase I/II, Open-Label, Dose Escalation and Cohort Expansion Study Evaluating the Safety, Pharmacokinetics (PK), Pharmacodynamics (PD), and Therapeutic Activity of OBI-888 in Patients With Locally Advanced or Metastatic Solid Tumors.",Yes,Master protocol,Yes,1,Clinical Benefit Rate (CBR),reported in full,,150,Yes,,30;30;30;30;30,54,Yes,,5;3;6;8;7;9;8,Perpetual,37,47,Frequentist,No,5,No,,,No,,,No,,,N/a,Not available,Discontinued/terminated,OBI-888 no longer fulfills our goal of developing cost-effective therapies for cancer patients.,Oncology,Drug,Phase I/II,Industry,Not available,Multi,International ,No,,,,,not clearly reported;,No,,,,,,
10,3/13/2025 11:55,3/13/2025 13:22,anonymous,,JS,PM,Yes,,5/26/2020,NCT03838042,INFORM2 Exploratory Multinational Phase I/II Combination Study of Nivolumab and Entinostat in Children and Adolescents With Refractory High-risk Malignancies (INFORM2-NivEnt),No,,No,1,Best response (CR or PR),Not available,,91,No,91,,91,No,91,,Fixed duration,85,58,Bayesian,No,5,No,,,No,,,Yes,2,Not available;,N/a,Not available,Ongoing,,Oncology,Combination ( >=2 different interventions),Phase I/II,Non-Industry,Not available,Multi,International ,unclear,,,,,efficacy stopping;futility stopping;,No,,,,,,
11,3/13/2025 9:02,3/14/2025 11:54,anonymous,,SD,??1,Yes,,6/25/2019,NCT03944772,ORCHARD,No,,No,1,OOR,Not available,,150,No,40,,247,Unclear,,,Fixed duration,42,71,Frequentist,Yes,5,Yes,Concurrent,,Yes,6,,No,,,,Unclear,Ongoing,,Oncology,Drug,Phase II,Industry,Industry,Multi,International ,unclear,,,,,sample size re-estimation;efficacy stopping;,No,,,,,,
12,3/20/2025 13:11,3/20/2025 15:14,anonymous,,JS,PM5,Yes,,8/17/2015,NCT02465060 ; 31922567,MATCH,Yes,Master protocol,Yes,1,Objective response rate (ORR),Not available,,3000,Yes,,N/a,6452,Yes,,N/a,Fixed duration,125,125,Frequentist,Yes,4,No,,,Yes,34,"""Actionable molecular alteration frequency met expectations, but assignment and enrollment lagged due to histology exclusions and mismatch of resources to demand. To address this lag, we revised estimates of mutation frequencies, increased screening sample size, added treatments, and improved assay throughput and efficiency (93.9% completion and 14-day turnaround).""",No,,,N/a,No,Ongoing,,Oncology,Drug,Phase II,Non-Industry,Public,Multi,National,yes,1,Yes,"Compared with initial assumptions, we observed a lower actionable alteration frequency in the initial 645 patients’ tumors (Table 3). The interim analysis allowed more accurate prediction of the potential assignment rate for subsequently added subprotocols (Table 4). After comparing the prevalence of actionable alterations in the 645 patients entered before the interim analysis to the eligibility requirements for the 24 future subprotocols, the expected assignment rate increased to 25.3%, allowing for ineligible histologies and other ineligibility criteria (Table 4). We projected that with 5000 screened patients, our upcoming subprotocols addressing alterations in phosphatidylinositol-4,5-Bisphosphate 3-Kinase Catalytic Subunit Alpha (PIK3CA), cyclin D1 (CCND1), fibroblast growth factor receptor (FGFR), PTEN, ERBB2 (amplification), neurofibromatosis type 1 (NF1), and cyclin-dependent kinase 4 and 6 (CDK4/6)would each accrue at least 35 patients, and an additional four subprotocols would accrue nearly 30 patients. Eleven subprotocols addressing molecular alterations with a frequency of 1% or less would likely not reach the accrual goal. As a result, the screening accrual goal was increased from 3000 to 5000 and subsequently to approximately 6000 patients.",No,sample size re-estimation;,No,,,,,Data extracted from publication and registry ,
13,3/20/2025 15:14,3/20/2025 15:30,anonymous,,JS,PM4,No,Platform trial no arms added or dropped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Applicable,
14,3/20/2025 15:42,3/20/2025 16:32,anonymous,,JS,PM6,Yes,,6/23/2024,38910310,POP,No,,No,1,Disease Control Rate (DCR),Not available,,,No,24,,,Unclear,,,not reported,,,Frequentist,Yes,,No,,unclear,No,,,No,,,N/a,Not available,Not available,,Oncology,Drug,Phase II,Non-Industry,Public,Multi,National,unclear,,,,,futility stopping;population enrichments,Yes,Not available,Unclear,Future PPI considered.,"PubMed article, no NCT number, results, interim analysis details, arms or sample size information available within the article.",Data extracted from publication,
15,3/20/2025 16:40,3/20/2025 17:16,anonymous,,JS,PM7,Yes,,5/26/2020,NCT03838042 ; 32503469,INFORM2,No,,No,1,Best Response (CR or PR),Not available,,128,Unclear,,,91,Yes,,N/a,Fixed duration,85,85,Bayesian,Yes,4,No,,unclear,Yes,1,Not clear.,Yes,2,Not available,Unclear.,Not available,Ongoing,,Oncology,Drug,Phase I/II,Non-Industry,Public,Multi,International ,yes,1,No,,Unclear,futility stopping,No,,,,"Interim analysis planned after first 10 patients to each arm, interim analysis to be conducted every additional 10 patients on the arm. Group D, due to its inclusion criteria, is expected to recruit faster than A,B, & C with a maximum sample size of 29 for the cohort.

Group E, mentioned in the arms & interventions of the latest Study Report on the Clinical Trials website does not indicate why it has been added as there was no mention of adding arms.",Data extracted from publication and registry ,
16,3/20/2025 17:17,3/20/2025 18:01,anonymous,,JS,PM8,Yes,,6/25/2019,NCT03944772 ; 34389237,ORCHARD,No,,No,1,Objective Response Rate (ORR),Not available,,182,No,40,,247,Yes,,,Fixed duration,71,71,Frequentist,Yes,5,Yes,Concurrent,unclear,Yes,6,"""Cohorts will be added depending on future biomarkers and combination treatments identified."" ; ""Cohorts can be added upon identification of future treatment options."" ; ""However, the design allows for data to be continuously collected and new treatment cohorts to be added based on emerging results, with the potential for cohorts to be expanded into independent confirmatory studies in the future.""",No,,,N/a,Not available,Ongoing,,Oncology,Drug,Phase II,Industry,Industry,Multi,International ,yes,1,Yes,"Up to 40 patients will be recruited into each cohort with an interim analysis using data from 16 patients who have had the opportunity for two post-baseline radiological assessments. If ? 4 of the first 16 evaluable patients in a cohort have confirmed responses, recruitment to that cohort may be stopped as this translates to a < 10% probability that the ORR will be above the target of 45%.",Unclear,futility stopping,No,,,,"New treatment arms added under the 28/01/25 record study details from the Clinical Trials website - These are Experimental interventions: Module 7,8,9,10",Data extracted from publication and registry ,
17,3/20/2025 20:54,3/20/2025 21:44,anonymous,,JS,PM9,Yes,,10/18/2018,36973538 ; NCT03805399 ,FUTURE,Yes,Master protocol,Yes,1,Objective Response Rate (ORR),reported in full,,140,Yes,,20,141,Yes,,4;20;46;10;46;6;9,Fixed duration,30,41, Both,Yes,7,No,,No,No,,,No,,,N/a,Unclear,Unclear,,Oncology,Drug,Phase II,Industry,Both,Single,National,yes,1,Yes,After 20 participants have been recruited into 1 arm and there is at least 1 participant in each arm.,Unclear,sample size re-estimation,No,,,,,Data extracted from publication and registry ,
18,3/20/2025 22:07,3/20/2025 23:19,anonymous,,JS,PM10,Yes,,12/15/2016,NCT03182634 ; 32919527,plasmaMATCH,Yes,Master protocol,Yes,1,Objective Response Rate (ORR),reported in full,,1150,Yes,,78;16;16;16;69,1051,Yes,,84;21;18;19;1,Fixed duration,29,74,Frequentist,Yes,5,No,,No,No,,,No,,,N/a,No,Completed,,Oncology,Drug,Phase II,Industry,Both,Multi,National,yes,3,Yes,"Cohorts A, B, C and D utilise a single stage design and as such no formal stopping rule is incorporated. Cohort E utilises a two-stage design and will recruit a maximum of 69 patients with various stopping rules as described in Section 13.2.5. An Independent Data Monitoring Committee (IDMC) will meet regularly to review emerging safety and efficacy data from all cohorts. In addition, a Safety Review Committee (SRC) consisting of key members of the trial team will meet to perform an initial review of the safety and tolerability of extended-dose fulvestrant in Cohort A. The SRC may also review emerging safety data from other cohorts if deemed appropriate by the IDMC. 

=< 4/37 of Cohort E fail to respond arm dropped in 1st interim analysis, =<12/69fail to respond arm dropped in 2nd interim analysis, =<28 of those identified from 2nd interim that progress arm will be dropped.",No,futility stopping,No,,,,,Data extracted from publication and registry ,
19,3/21/2025 8:42,3/21/2025 9:23,anonymous,,JS,PM11,Yes,,03/01/2015, NCT02664935 ; 32669708,NLMT (National Lung Matrix Trial),No,,No,3,Objective Response (OR) ; Progression Free Survival Time (PFS) ; Durable Clinical Benefit (DCB),Partially/ Per arm,"Results presented for 19 arms, 3 not presented due to insufficient numbers recruited. Data presented only up to 16/12/2019 up to data freeze for interim analysis.",620,No,30,,423,No,30,,Fixed duration,112,118,Bayesian,Yes,8,No,,unclear,Yes,2,"The protocol is currently being developed for the inclusion of a further 2 treatment arms and 3 new cohorts, and further arms and cohorts may be added subject to funder and regulatory approval.

",No,,,No access to protocol.,Not available,Ongoing,,Oncology,Drug,Phase II,Industry,Both,Multi,National,yes,1,Yes,"Target recruitment for each cohort is 30 patients, with futility analyses at 15 patients. The independent Trial Steering Committee reviewed the interim data every 6 months to ensure patient safety and are responsible for making decisions to close cohorts early and to share interim data with investigators and pharmaceutical industry partners. In particular, they endorsed the decision to publish the interim data. For open cohorts that are continuing to recruit, we report interim results for primary outcomes using the PPoS. This is the probability of a ‘go’ decision for consideration of further clinical evaluation when the cohort reaches the target of 30 patients, given the minimally informative prior and the trial data observed at that point.",Unclear,futility stopping,No,,,,"Each of the 10 arms were further broken down into a total of 22 molecularly-defined cohorts. Only 19 of those defined cohorts data were presented, as 3 cohorts had insufficient recruitment at time of publication. There is a registered trial website you can contact for further information (potentially to get the protocol/SAP upon request) and the statistical analysis coding has been provided via GitHub link.",Data extracted from publication and registry ,
20,3/21/2025 9:23,3/21/2025 10:12,anonymous,,JS,PM12,Yes,,12/27/2019,NCT0414553 ; 36108304,An Open-Label Study of JZP-458 (RC-P) in Patients With Acute Lymphoblastic Leukemia (ALL)/?Lymphoblastic Lymphoma (LBL),Yes,Master protocol,Yes,2,Response Rate During the First Course of JZP-458 Administration ; Number of Participants With Any Treatment-emergent Adverse Events (TEAEs),reported in full,,135,Yes,,N/a,229,Yes,,33;83;51,Fixed duration,24,32,Frequentist,Yes,2,No,,Yes,Yes,1,The SDRC recommended initiating cohort 1c based on the results of preliminary PopPK modeling and simulation while continuing enrollment in cohort 1b. Analysis of all patients enrolled in part A was conducted after 51 patients in cohort 1c (25/25/50 mg/m2 MWF) completed course 1. ,No,,,Study Data Review Committee (SDRC) during the dose-confirmation phase. ,Unclear,Completed,,Oncology,Drug,Phase II/III,Industry,Industry,Multi,National,yes,1,Yes,"An interim analysis, including data from cohort 1a (25 mg/m2 MWF) and cohort 1b (37.5 mg/m2 MWF), was conducted by the SDRC after 51 patients in cohort 1b completed course 1.",Unclear,not clearly reported,No,,,," nonlinear mixed effects model constructed to describe 
pharmacokinetics of compound after intra-muscular administration.  serum asparaginase activity (SAA) was the basis of the PK assessment in this study.

The model was used to simulate the SAA profiles for a virtual population with 2000 subjects (1000 pediatric and 1000 adult subjects) to explore the likelihood of achieving a therapeutic target NSAA level of ?0.1 IU/mL based on different doses, schedules, and routes of administration. ",Data extracted from publication and registry ,
21,3/21/2025 10:14,3/21/2025 10:44,anonymous,,JS,PM13,Yes,,1/25/2016,NCT02646748 ; 38115208,Pembrolizumab Combined With Itacitinib (INCB039110) and/?or Pembrolizumab Combined With INCB050465 in Advanced Solid Tumors,No,,No,1,Objective Response Rate (ORR),reported in full,,78,No,30,,159,Yes,,41;49,Fixed duration,47,47,Frequentist,Yes,2,No,,unclear,No,,,No,,,N/a,Unclear,Completed,,Oncology,Drug,Phase I,Industry,Industry,Multi,National,unclear,,,,,futility stopping,No,,,,"In Part 1a, 3 to 6 patients were enrolled in each dose level depending on the occurrence of DLTs. In Part 1b, with a planned enrollment of 60 patients [30 patients per expansion cohort A-1/A-2 (itacitinib plus pembrolizumab) and B-1/B-2 (parsaclisib plus pembrolizumab)], there was a ?90% chance of observing a toxicity with a true event rate of >7.4%. In Part 2, with planned enrollment of a total of 10–29 patients with SCLC in a Simon two-stage design, and 28 patients with NSCLC and 36 patients with UC in a Simon one-stage design, the cohorts were to be terminated for lack of efficacy if there were one or fewer SCLC in stage 1 or five or fewer SCLC total in stage 1 and 2, seven or fewer NSCLC, or ?13 patients with UC responded to treatment. This was an exploratory study and no formal statistical tests were performed.",Data extracted from publication and registry ,
22,3/24/2025 10:08,3/24/2025 14:17,anonymous,,JS,PM14,Yes,,9/15/2010,NCT01203722 ; 34425261,"Reduced Intensity, Partially HLA Mismatched Allogeneic BMT for Hematologic Malignancies Using Donors Other Than First-degree Relatives",Yes,Master protocol,Yes,3,"1. Transplant regimen as determined by rates of severe acute graft-versus-host-disease (GVHD)
Two immunosuppressive regimens with Fludarabine-Cytoxan-TBI conditioning will be studied in reduced-intensity, partially HLA mismatched allogeneic BMT from unrelated or non-first-degree related donors. Transplant regimen will be determined by acceptable rates of severe acute GVHD (< 25%). [Time Frame: Study Day 100]

2. Transplant regimen as determined by rates of transplant-related nonrelapse mortality (NRM)
Two immunosuppressive regimens with Fludarabine-Cytoxan-TBI conditioning will be studied in reduced-intensity, partially HLA mismatched allogeneic BMT from unrelated or non-first-degree related donors. Transplant regimen will be determined by acceptable rates transplant-related NRM (< 20%). [Time Frame: Study Day 100]

3. 6-month probability of survival as assessed by absence of grade III-IV GVHD or evidence of graft failure. Two immunosuppressive regimens with Fludarabine-Cytoxan-TBI conditioning will be studied in reduced-intensity, partially HLA mismatched allogeneic BMT from unrelated or non-first-degree related donors.
[Time Frame: 6 months]

",Partially/ Per arm,"Results posted for 29 participants of disease relapse, probabilities & survival analysis. Results were not stratified by arm.",45,No,5,,100,Yes,,,Fixed duration,66,175, Both,Yes,3,No,,Yes,Yes,2,Additional cohorts “B2” and “B3” will be added using peripheral blood donor cells according to the “B” Prep regimen. ,Yes,2,Futility,N/a,Not available,Ongoing,,Oncology,Drug,Phase I/II,Non-Industry,Not available,Single,National,yes,2,Yes,"There will be two interim analyses for futility, after the 5th and 15th patient have been enrolled in the expansion cohort. The study is designed to stop for futility if there is 80% certainty that the 6-month FFS is below 40%. ",Unclear,futility stopping,No,,,,"Simulation utilised: The study design operating characteristics assume a total sample size of 45 patients, a 5-year recruitment period, and additional follow-up of 6 months. The following table summarizes the operating characteristics of the futility stopping rule under various scenarios for the underlying exponential FFS, based on 1000 simulations. For futility monitoring we optimistically characterize the uncertainty of the 6 month FFS estimate with the prior: ",Data extracted from publication and registry ,
23,3/25/2025 12:22,3/25/2025 14:25,anonymous,,JS,PM16,Yes,,12/21/2006,29882016 ; NCT00620594,"A Phase I/II, Multi-center, Open-label Study of BEZ235, Administered Orally on a Continuous Daily Dosing Schedule in Adult Patients With Advanced Solid Malignancies Including Patients With Advanced Breast Cancer",No,,No,2,"1. determine the maximum Tolerated Dose (MTD) of BEZ235 as single agent and in combination with trastuzumab (Dose escalation part)
[Time Frame: at end of study]
2. assess the safety & tolerability of BEZ235 SDS as single agent and in combination with trastuzumab administered to patients at the MTD level (Safety expansion part)
[Time Frame: at end of study]",reported in full,,80,Unclear,,,183,Yes,,27;3;59;61;11;22,Fixed duration,37,74, Both,Yes,1,No,,unclear,Yes,3,"Dose escalation with combination, MTD expansion of single agent, MTD expansion of combination agent.",No,,,N/a,Not available,Completed,,Oncology,Drug,Phase I/II,Industry,Industry,Multi,International ,unclear,,,,,sample size re-estimation,No,,,,"Dose escalation was guided by the escalation with overdose control (EWOC) principle and modeled by an adaptive Bayesian logistic regression model (BLRM) [21, 22]. Cohorts of three-to-six patients were planned to be enrolled at each dose level. Cohorts could be expanded at any dose level below MTD for further elaboration of safety and PK parameters as required.",,
